Query Acc.ver,Subject Acc.ver,Per. identity,Alignment Length,Mismatches,Gap Opens,Q. start,Q. end,S. start,S. end,E value,Bit Score
gene0001,CP054425.1,100,1224,0,0,1,1224,43422,42199,0,2261
gene0002,CP054425.1,100,126,0,0,1,126,44086,44211,5.91E-57,233
gene0003,CP054425.1,100,1656,0,0,1,1656,44477,46132,0,3059
gene0004,CP054425.1,100,2844,0,0,1,2844,49142,46299,0,5252
gene0005,CP054425.1,100,1914,0,0,1,1914,49338,51251,0,3535
gene0006,CP054425.1,100,606,0,0,1,606,51368,51973,0,1120
gene0007,CP054425.1,100,1269,0,0,1,1269,52087,53355,0,2344
gene0008,CP054425.1,100,1731,0,0,1,1731,53449,55179,0,3197
gene0009,CP054425.1,100,546,0,0,1,546,55337,55882,0,1009
gene0010,CP054425.1,100,873,0,0,1,873,55875,56747,0,1613
gene0011,CP054425.1,100,1092,0,0,1,1092,57932,56841,0,2017
gene0012,CP054425.1,100,387,0,0,1,387,58066,58452,0,715
gene0013,CP054425.1,100,672,0,0,1,672,58467,59138,0,1242
gene0014,CP054425.1,100,1152,0,0,1,1152,59206,60357,0,2128
gene0015,CP054425.1,100,1404,0,0,1,1404,60653,62056,0,2593
gene0016,CP054425.1,100,408,0,0,1,408,62484,62077,0,754
gene0017,CP054425.1,100,2448,0,0,1,2448,62705,65152,0,4521
gene0018,CP054425.1,100,219,0,0,1,219,65613,65395,2.38E-108,405
gene0019,CP054425.1,100,762,0,0,1,762,65802,66563,0,1408
gene0020,CP054425.1,100,471,0,0,1,471,67677,67207,0,870
gene0021,CP054425.1,100,792,0,0,1,792,67767,68558,0,1463
gene0022,CP054425.1,100,1185,0,0,1,1185,68609,69793,0,2189
gene0023,CP054425.1,100,645,0,0,1,645,69844,70488,0,1192
gene0024,CP054425.1,100,2067,0,0,1,2067,72562,70496,0,3818
gene0025,CP054425.1,100,951,0,0,1,951,73521,72571,0,1757
gene0026,CP054425.1,100,1467,0,0,1,1467,74984,73518,0,2710
gene0027,CP054425.1,100,1560,0,0,1,1560,76540,74981,0,2881
gene0028,CP054425.1,100,1695,0,0,1,1695,78231,76537,0,3131
gene0029,CP054425.1,100,525,0,0,1,525,78760,78236,0,970
gene0030,CP054425.1,100,672,0,0,1,672,79461,78790,0,1242
gene0031,CP054425.1,100,120,0,0,1,120,79639,79520,1.19E-53,222
gene0032,CP054425.1,100,2379,0,0,1,2379,82092,79714,0,4394
gene0033,CP054425.1,100,1092,0,0,1,1092,82171,83262,0,2017
gene0034,CP054425.1,100,957,0,0,1,957,83325,84281,0,1768
gene0035,CP054425.1,100,1377,0,0,1,1377,84447,85823,0,2543
gene0036,CP054425.1,100,2481,0,0,1,2481,86024,88504,0,4582
gene0037,CP054425.1,100,987,0,0,1,987,88533,89519,0,1823
gene0038,CP054425.1,100,684,0,0,1,684,89522,90205,0,1264
gene0039,CP054425.1,100,216,0,0,1,216,90815,90600,1.09E-106,399
gene0040,CP054425.1,100,129,0,0,1,129,90843,90971,1.31E-58,239
gene0041,CP054425.1,100,1173,0,0,1,1173,92711,91539,0,2167
gene0042,CP054425.1,100,333,0,0,1,333,93002,93334,1.64E-171,616
gene0043,CP054425.1,100,852,0,0,1,852,94219,93368,0,1574
gene0044,CP054425.1,100,153,0,0,1,153,94226,94378,7.50E-72,283
gene0045,CP054425.1,100,423,0,0,1,423,94580,95002,0,782
gene0046,CP054425.1,100,606,0,0,1,606,95067,95672,0,1120
gene0047,CP054425.1,100,255,0,0,1,255,95990,96244,2.77E-128,472
gene0048,CP054425.1,100,348,0,0,1,348,96718,96371,7.90E-180,643
gene0049,CP054425.1,100,216,0,0,1,216,96935,96720,1.09E-106,399
gene0050,CP054425.1,100,255,0,0,1,255,97326,97072,2.77E-128,472
gene0051,CP054425.1,100,138,0,0,1,138,97518,97381,1.43E-63,255
gene0053,CP054425.1,100,1287,0,0,1,1287,99203,97917,0,2377
gene0054,CP114053.1,100,2043,0,0,1,2043,99647,101689,0,3773
gene0055,CP054425.1,100,2166,0,0,1,2166,102082,104247,0,4000
gene0056,CP054425.1,100,168,0,0,1,168,104515,104348,3.88E-80,311
gene0057,CP054425.1,100,1332,0,0,1,1332,104567,105898,0,2460
gene0058,CP054425.1,100,885,0,0,1,885,106071,106955,0,1635
gene0059,CP054425.1,100,1116,0,0,1,1116,106977,108092,0,2061
gene0060,CP054425.1,100,918,0,0,1,918,108089,109006,0,1696
gene0061,CP054425.1,100,711,0,0,1,711,109003,109713,0,1314
gene0062,CP054425.1,100,1026,0,0,1,1026,109865,110890,0,1895
gene0063,CP054425.1,100,699,0,0,1,699,110999,111697,0,1291
gene0064,CP054425.1,100,1722,0,0,1,1722,111700,113421,0,3181
gene0065,CP054425.1,100,666,0,0,1,666,113569,114234,0,1230
gene0066,CP054425.1,100,852,0,0,1,852,114234,115085,0,1574
gene0067,CP054425.1,100,633,0,0,1,633,115108,115740,0,1170
gene0068,CP054425.1,100,855,0,0,1,855,115796,116650,0,1580
gene0069,CP054425.1,100,147,0,0,1,147,116682,116828,1.54E-68,272
gene0070,CP054425.1,100,1440,0,0,1,1440,116881,118320,0,2660
gene0071,CP054425.1,100,939,0,0,1,939,118458,119396,0,1735
gene0072,CP054425.1,100,2478,0,0,1,2478,119599,122076,0,4577
gene0074,CP054425.1,100,1083,0,0,1,1083,122524,123606,0,2001
gene0075,CP054425.1,100,156,0,0,1,156,123764,123609,1.65E-73,289
gene0076,CP054425.1,100,1170,0,0,1,1170,124036,125205,0,2161
gene0077,CP054425.1,100,120,0,0,1,120,125897,125778,1.19E-53,222
gene0078,CP054425.1,100,147,0,0,1,147,126118,125972,1.54E-68,272
gene0079,CP054425.1,100,330,0,0,1,330,126769,127098,7.55E-170,610
gene0080,CP054425.1,100,201,0,0,1,201,127743,127943,2.19E-98,372
gene0081,CP054425.1,100,1029,0,0,1,1029,127930,128958,0,1901
gene0082,CP054425.1,100,945,0,0,1,945,128962,129906,0,1746
gene0083,CP054425.1,100,1470,0,0,1,1470,130031,131500,0,2715
gene0084,CP054425.1,100,564,0,0,1,564,131530,132093,0,1042
gene0085,CP054425.1,98.519,135,2,0,1,135,132449,132315,1.40E-58,239
gene0086,CP054425.1,99.429,175,0,1,1,174,132620,132446,8.71E-82,316
gene0087,CP054425.1,100,639,0,0,1,639,133542,132904,0,1181
gene0088,CP054425.1,100,1098,0,0,1,1098,133685,134782,0,2028
gene0089,CP054425.1,100,417,0,0,1,417,134986,135402,0,771
gene0090,CP054425.1,100,357,0,0,1,357,135416,135772,0,660
gene0091,CP054425.1,100,1287,0,0,1,1287,135882,137168,0,2377
gene0092,CP054425.1,100,1515,0,0,1,1515,137261,138775,0,2798
gene0093,CP054425.1,100,897,0,0,1,897,139127,140023,0,1657
gene0094,CP054425.1,100,387,0,0,1,387,140032,140418,0,715
gene0095,CP054425.1,100,114,0,0,1,114,140507,140620,2.40E-50,211
gene0096,CP054425.1,100,1086,0,0,1,1086,140692,141777,0,2006
gene0097,CP054425.1,100,1527,0,0,1,1527,141970,143496,0,2820
gene0098,CP054425.1,100,1638,0,0,1,1638,143701,145338,0,3025
gene0099,CP054425.1,100,1311,0,0,1,1311,145884,147194,0,2422
gene0100,CP054425.1,100,183,0,0,1,183,147191,147373,1.98E-88,339
gene0101,CP054425.1,100,327,0,0,1,327,147887,147561,3.48E-168,604
gene0102,CP054425.1,100,543,0,0,1,543,147924,148466,0,1003
gene0103,CP054425.1,100,1053,0,0,1,1053,148749,149801,0,1945
gene0104,CP054425.1,100,594,0,0,1,594,150541,149948,0,1098
gene0105,CP054425.1,100,735,0,0,1,735,151272,150538,0,1358
gene0106,CP054425.1,100,567,0,0,1,567,151835,151269,0,1048
gene0107,CP054425.1,100,141,0,0,1,141,152175,152315,3.16E-65,261
gene0108,CP054425.1,100,1053,0,0,1,1053,152698,153750,0,1945
gene0109,CP054425.1,100,792,0,0,1,792,154750,153959,0,1463
gene0110,CP054425.1,100,1029,0,0,1,1029,155775,154747,0,1901
gene0111,CP054425.1,100,1335,0,0,1,1335,157316,155982,0,2466
gene0112,CP054425.1,100,450,0,0,1,450,157796,157347,0,832
gene0113,CP054425.1,100,1065,0,0,1,1065,159020,157956,0,1967
gene0114,CP054425.1,100,2238,0,0,1,2238,161539,159302,0,4133
gene0115,CP054425.1,100,114,0,0,1,114,161827,161714,2.40E-50,211
gene0116,CP054425.1,100,123,0,0,1,123,161878,162000,2.65E-55,228
gene0117,CP054425.1,100,171,0,0,1,171,162174,162004,8.51E-82,316
gene0118,CP054425.1,100,2094,0,0,1,2094,162145,164238,0,3868
gene0119,CP054425.1,100,447,0,0,1,447,164653,164207,0,826
gene0120,CP054425.1,100,1896,0,0,1,1896,164669,166564,0,3502
gene0121,CP054425.1,100,681,0,0,1,681,166564,167244,0,1258
gene0122,CP054425.1,100,1011,0,0,1,1011,167457,168467,0,1868
gene0123,CP054425.1,100,567,0,0,1,567,168503,169069,0,1048
gene0124,CP054425.1,100,1353,0,0,1,1353,169344,170696,0,2499
gene0125,CP054425.1,100,1122,0,0,1,1122,170733,171854,0,2073
gene0126,CP054425.1,100,1479,0,0,1,1479,171862,173340,0,2732
gene0127,CP054425.1,100,516,0,0,1,516,173427,173942,0,953
gene0128,CP054425.1,100,258,0,0,1,258,173939,174196,6.02E-130,477
gene0129,CP054425.1,100,672,0,0,1,672,174309,174980,0,1242
gene0130,CP054425.1,100,726,0,0,1,726,175215,175940,0,1341
gene0131,CP054425.1,100,204,0,0,1,204,176909,177112,4.78E-100,377
gene0132,CP054425.1,100,261,0,0,1,261,177440,177180,1.31E-131,483
gene0133,CP054425.1,100,708,0,0,1,708,177477,178184,0,1308
gene0134,CP054425.1,100,693,0,0,1,693,178148,178840,0,1280
gene0135,CP054425.1,100,132,0,0,1,132,179042,178911,2.90E-60,244
gene0136,CP054425.1,100,168,0,0,1,168,179272,179439,3.87E-80,311
gene0137,CP054425.1,100,288,0,0,1,288,179724,180011,1.44E-146,532
gene0138,CP054425.1,100,366,0,0,1,366,180351,179986,0,676
gene0139,CP054425.1,100,351,0,0,1,351,180475,180825,0,649
gene0140,CP054425.1,100,1131,0,0,1,1131,180873,182003,0,2089
gene0141,CP054425.1,100,600,0,0,1,600,182798,182199,0,1109
gene0142,CP054425.1,100,2709,0,0,1,2709,182994,185702,0,5003
gene0143,CP054425.1,100,603,0,0,1,603,185728,186330,0,1114
gene0144,CP054425.1,100,1134,0,0,1,1134,187460,186327,0,2095
gene0145,CP054425.1,100,324,0,0,1,324,187992,188315,1.60E-166,599
gene0146,CP054425.1,100,765,0,0,1,765,188680,189444,0,1413
gene0147,CP054425.1,100,567,0,0,1,567,189500,190066,0,1048
gene0148,CP054425.1,100,1002,0,0,1,1002,191145,190144,0,1851
gene0149,CP054425.1,100,117,0,0,1,117,191158,191274,5.35E-52,217
gene0150,CP054425.1,100,576,0,0,1,576,191517,192092,0,1064
gene0151,CP054425.1,100,1581,0,0,1,1581,193675,192095,0,2920
gene0152,CP054425.1,100,1917,0,0,1,1917,194364,196280,0,3541
gene0153,CP054425.1,100,951,0,0,1,951,197359,196409,0,1757
gene0154,CP054425.1,100,1164,0,0,1,1164,198515,197352,0,2150
gene0155,CP054425.1,100,120,0,0,1,120,198733,198852,1.19E-53,222
gene0156,CP054425.1,100,963,0,0,1,963,199297,200259,0,1779
gene0157,CP054425.1,100,219,0,0,1,219,200430,200212,2.37E-108,405
gene0158,CP054425.1,100,3090,0,0,1,3090,200386,203475,0,5707
gene0159,CP054425.1,100,702,0,0,1,702,203753,204454,0,1297
gene0160,CP054425.1,100,1152,0,0,1,1152,204451,205602,0,2128
gene0161,CP054425.1,100,687,0,0,1,687,206309,205623,0,1269
gene0162,CP054425.1,100,261,0,0,1,261,206639,206379,1.31E-131,483
gene0163,CP054425.1,100,171,0,0,1,171,206844,206674,8.51E-82,316
gene0164,CP054425.1,100,1650,0,0,1,1650,206896,208545,0,3048
gene0165,CP054425.1,100,603,0,0,1,603,208708,209310,0,1114
gene0166,CP054425.1,100,1602,0,0,1,1602,209454,211055,0,2959
gene0167,CP054425.1,100,1518,0,0,1,1518,211213,212730,0,2804
gene0168,CP054425.1,100,348,0,0,1,348,213381,213034,7.88E-180,643
gene0169,CP054425.1,100,537,0,0,1,537,213582,214118,0,992
gene0170,CP054425.1,100,1452,0,0,1,1452,215621,214170,0,2682
gene0171,CP054425.1,100,660,0,0,1,660,215861,216520,0,1219
gene0172,CP054425.1,100,909,0,0,1,909,216608,217516,0,1679
gene0173,CP054425.1,100,876,0,0,1,876,217641,218516,0,1618
gene0174,CP054425.1,100,1095,0,0,1,1095,219698,218604,0,2023
gene0175,CP054425.1,100,1521,0,0,1,1521,219849,221369,0,2809
gene0178,CP054425.1,100,498,0,0,1,498,222535,222038,0,920
gene0179,CP054425.1,100,150,0,0,1,150,222677,222528,3.39E-70,278
gene0180,CP054425.1,100,849,0,0,1,849,223549,222701,0,1568
gene0181,CP054425.1,100,138,0,0,1,138,223876,223739,1.42E-63,255
gene0182,CP054425.1,100,480,0,0,1,480,223875,224354,0,887
gene0183,CP054425.1,100,141,0,0,1,141,224654,224514,3.15E-65,261
gene0185,CP054425.1,100,1419,0,0,1,1419,225480,226898,0,2621
gene0186,CP054425.1,100,1929,0,0,1,1929,227069,228997,0,3563
gene0187,CP054425.1,100,696,0,0,1,696,229130,229825,0,1286
gene0188,CP054425.1,100,1269,0,0,1,1269,229978,231246,0,2344
gene0189,CP054425.1,100,1305,0,0,1,1305,231268,232572,0,2410
gene0190,CP054425.1,100,1224,0,0,1,1224,232606,233829,0,2261
gene0191,CP054425.1,100,798,0,0,1,798,233845,234642,0,1474
gene0192,CP054425.1,100,570,0,0,1,570,234750,235319,0,1053
gene0193,CP054425.1,100,600,0,0,1,600,235924,235325,0,1109
gene0194,CP054425.1,100,2154,0,0,1,2154,238192,236039,0,3978
gene0195,CP054425.1,100,2631,0,0,1,2631,240828,238198,0,4859
gene0196,CP054425.1,100,1287,0,0,1,1287,241570,242856,0,2377
gene0197,CP054425.1,100,1542,0,0,1,1542,242975,244516,0,2848
gene0198,CP054425.1,100,822,0,0,1,822,245399,244578,0,1519
gene0199,CP054425.1,100,1017,0,0,1,1017,246730,245714,0,1879
gene0200,CP054425.1,100,1539,0,0,1,1539,248265,246727,0,2843
gene0201,CP054425.1,100,129,0,0,1,129,248266,248394,1.31E-58,239
